,CUST_CODE,TOTAL_VISIT,TOTAL_SPEND,TICKET_SIZE,STD_SPEND,Duration_LAST_SHOPDATE,DUration_FIRST_SHOPDATE,LENGTH_STAY,AVG_TIME_TO_EVENT,MOD_BASKET,cluster
74,CUST0000541382,1,2.11,1.055,0.48500000000000004,529,529,0,0.0,1,1
75,CUST0000329562,1,3.0,1.5,0.25,102,102,0,0.0,1,1
76,CUST0000696991,1,1.7400000000000002,0.8700000000000001,0.48000000000000004,133,133,0,0.0,1,1
77,CUST0000264843,1,1.99,1.99,0.0,715,715,0,0.0,1,1
78,CUST0000562965,1,0.32,0.32,0.0,616,616,0,0.0,1,1
79,CUST0000615840,1,9.48,9.48,0.0,299,299,0,0.0,1,1
80,CUST0000672365,1,1.54,1.54,0.0,683,683,0,0.0,1,1
81,CUST0000424858,1,1.45,1.45,0.0,700,700,0,0.0,1,1
82,CUST0000004507,1,2.35,1.175,0.06499999999999995,385,385,0,0.0,1,1
83,CUST0000406043,1,0.43,0.43,0.0,538,538,0,0.0,1,1
84,CUST0000823740,1,1.56,1.56,0.0,222,222,0,0.0,1,1
85,CUST0000859886,1,1.22,1.22,0.0,572,572,0,0.0,1,1
86,CUST0000432916,1,1.84,0.92,0.64,475,475,0,0.0,1,1
87,CUST0000757933,1,0.55,0.275,0.0050000000000000044,654,654,0,0.0,1,1
88,CUST0000625031,1,3.83,3.83,0.0,712,712,0,0.0,1,1
89,CUST0000722524,1,0.43,0.43,0.0,260,260,0,0.0,1,1
90,CUST0000307318,1,1.54,0.77,0.08999999999999997,166,166,0,0.0,1,1
91,CUST0000362684,1,0.88,0.88,0.0,221,221,0,0.0,1,1
92,CUST0000602386,1,4.55,2.275,0.16500000000000004,368,368,0,0.0,1,1
93,CUST0000928283,1,0.45,0.45,0.0,322,322,0,0.0,1,1
94,CUST0000389197,1,1.28,0.64,0.010000000000000009,344,344,0,0.0,1,1
95,CUST0000006052,1,0.53,0.53,0.0,558,558,0,0.0,1,1
96,CUST0000815872,1,1.54,1.54,0.0,651,651,0,0.0,1,1
97,CUST0000487493,1,1.3,0.65,0.19999999999999998,554,554,0,0.0,1,1
98,CUST0000242019,1,1.04,1.04,0.0,116,116,0,0.0,1,1
99,CUST0000981616,1,0.34,0.34,0.0,111,111,0,0.0,1,1
100,CUST0000423000,1,2.0,2.0,0.0,403,403,0,0.0,1,1
101,CUST0000180754,1,0.39,0.39,0.0,637,637,0,0.0,1,1
102,CUST0000028958,1,1.99,1.99,0.0,802,802,0,0.0,1,1
103,CUST0000693990,1,1.99,1.99,0.0,809,809,0,0.0,1,1
104,CUST0000997160,1,1.9100000000000001,0.9550000000000001,0.05499999999999999,582,582,0,0.0,1,1
105,CUST0000131290,1,1.23,1.23,0.0,699,699,0,0.0,1,1
106,CUST0000496145,1,0.21,0.21,0.0,814,814,0,0.0,1,1
107,CUST0000815065,1,0.39,0.39,0.0,661,661,0,0.0,1,1
108,CUST0000162076,1,0.43,0.43,0.0,106,106,0,0.0,1,1
109,CUST0000940460,1,1.0,0.5,0.020000000000000018,296,296,0,0.0,1,1
110,CUST0000993893,1,1.65,0.825,0.07500000000000001,115,115,0,0.0,1,1
111,CUST0000318574,1,0.54,0.54,0.0,607,607,0,0.0,1,1
112,CUST0000152233,1,0.25,0.25,0.0,616,616,0,0.0,1,1
113,CUST0000305829,1,0.34,0.34,0.0,212,212,0,0.0,1,1
114,CUST0000357700,1,1.42,1.42,0.0,299,299,0,0.0,1,1
115,CUST0000864604,1,3.93,1.965,1.425,394,394,0,0.0,1,1
116,CUST0000417956,1,4.92,4.92,0.0,745,745,0,0.0,1,1
117,CUST0000525038,1,0.86,0.86,0.0,479,479,0,0.0,1,1
118,CUST0000640465,1,0.62,0.62,0.0,517,517,0,0.0,1,1
119,CUST0000489449,1,1.91,1.91,0.0,611,611,0,0.0,1,1
120,CUST0000761312,1,25.3,25.3,0.0,327,327,0,0.0,1,1
121,CUST0000631928,1,0.99,0.495,0.485,322,322,0,0.0,1,1
122,CUST0000778495,1,1.27,0.635,0.28500000000000003,315,315,0,0.0,1,1
123,CUST0000292268,1,2.65,2.65,0.0,718,718,0,0.0,1,1
124,CUST0000923281,1,0.01,0.01,0.0,677,677,0,0.0,1,1
125,CUST0000177847,1,1.25,0.625,0.09499999999999997,183,183,0,0.0,1,1
126,CUST0000459761,1,0.55,0.55,0.0,402,402,0,0.0,1,1
127,CUST0000351785,1,4.77,2.385,0.7849999999999999,458,458,0,0.0,1,1
128,CUST0000105648,1,0.92,0.92,0.0,469,469,0,0.0,1,1
129,CUST0000398244,1,0.48,0.48,0.0,290,290,0,0.0,1,1
130,CUST0000662504,1,1.93,0.965,0.18499999999999994,720,720,0,0.0,1,1
131,CUST0000769480,1,2.57,1.285,0.595,248,248,0,0.0,1,1
132,CUST0000937347,1,0.21,0.21,0.0,758,758,0,0.0,1,1
133,CUST0000128958,1,1.2,1.2,0.0,99,99,0,0.0,1,1
134,CUST0000818412,1,1.21,1.21,0.0,650,650,0,0.0,1,1
135,CUST0000515625,1,2.8099999999999996,1.4049999999999998,0.6249999999999999,656,656,0,0.0,1,1
136,CUST0000928289,1,0.72,0.72,0.0,527,527,0,0.0,1,1
137,CUST0000279894,1,4.55,2.2750000000000004,1.635,731,731,0,0.0,1,1
138,CUST0000897098,1,1.28,0.64,0.22,384,384,0,0.0,1,1
139,CUST0000374156,1,0.84,0.84,0.0,176,176,0,0.0,1,1
140,CUST0000880331,1,2.32,2.32,0.0,697,697,0,0.0,1,1
141,CUST0000111827,1,1.04,1.04,0.0,198,198,0,0.0,1,1
142,CUST0000649557,1,1.88,1.88,0.0,436,436,0,0.0,1,1
143,CUST0000827384,1,0.35,0.35,0.0,497,497,0,0.0,1,1
144,CUST0000268362,1,1.0,1.0,0.0,183,183,0,0.0,1,1
145,CUST0000712135,1,1.82,1.82,0.0,496,496,0,0.0,1,1
146,CUST0000108302,1,0.67,0.67,0.0,448,448,0,0.0,1,1
147,CUST0000148471,1,0.33,0.33,0.0,456,456,0,0.0,1,1
148,CUST0000249812,1,2.51,2.51,0.0,800,800,0,0.0,1,1
149,CUST0000492490,1,0.98,0.98,0.0,254,254,0,0.0,1,1
150,CUST0000138004,1,8.47,8.47,0.0,621,621,0,0.0,1,1
151,CUST0000692133,1,0.01,0.01,0.0,235,235,0,0.0,1,1
152,CUST0000643880,1,1.45,1.45,0.0,645,645,0,0.0,1,1
153,CUST0000253569,1,4.72,4.72,0.0,507,507,0,0.0,1,1
154,CUST0000863110,1,0.25,0.25,0.0,488,488,0,0.0,1,1
155,CUST0000233800,1,0.32,0.32,0.0,129,129,0,0.0,1,1
156,CUST0000492477,1,1.56,1.56,0.0,626,626,0,0.0,1,1
157,CUST0000847166,1,9.48,9.48,0.0,214,214,0,0.0,1,1
158,CUST0000818732,1,0.36,0.36,0.0,446,446,0,0.0,1,1
159,CUST0000632443,1,3.48,1.74,0.3699999999999999,563,563,0,0.0,1,1
160,CUST0000663803,1,0.41,0.41,0.0,755,755,0,0.0,1,1
161,CUST0000113121,1,1.04,1.04,0.0,727,727,0,0.0,1,1
162,CUST0000588190,1,0.9,0.9,0.0,607,607,0,0.0,1,1
163,CUST0000671242,1,1.39,1.39,0.0,712,712,0,0.0,1,1
164,CUST0000433698,1,0.33,0.33,0.0,396,396,0,0.0,1,1
165,CUST0000806887,1,1.8900000000000001,0.9450000000000001,0.26499999999999996,157,157,0,0.0,1,1
166,CUST0000150097,1,1.31,0.655,0.225,664,664,0,0.0,1,1
167,CUST0000971444,1,1.21,1.21,0.0,806,806,0,0.0,1,1
168,CUST0000979178,1,1.52,1.52,0.0,598,598,0,0.0,1,1
169,CUST0000020599,1,0.27,0.27,0.0,521,521,0,0.0,1,1
170,CUST0000667401,1,2.49,1.245,0.04500000000000004,621,621,0,0.0,1,1
171,CUST0000542089,1,1.87,1.87,0.0,779,779,0,0.0,1,1
172,CUST0000970601,1,0.57,0.57,0.0,677,677,0,0.0,1,1
173,CUST0000808289,1,0.34,0.34,0.0,697,697,0,0.0,1,1
174,CUST0000782658,1,1.29,1.29,0.0,213,213,0,0.0,1,1
175,CUST0000761850,1,0.01,0.01,0.0,219,219,0,0.0,1,1
176,CUST0000297846,1,1.09,1.09,0.0,671,671,0,0.0,1,1
177,CUST0000092742,1,1.08,0.54,0.11000000000000001,540,540,0,0.0,1,1
178,CUST0000320706,1,1.41,0.705,0.275,800,800,0,0.0,1,1
179,CUST0000902020,1,1.99,1.99,0.0,685,685,0,0.0,1,1
180,CUST0000179429,1,1.36,1.36,0.0,176,176,0,0.0,1,1
181,CUST0000912483,1,0.24,0.24,0.0,423,423,0,0.0,1,1
182,CUST0000925179,1,0.88,0.88,0.0,461,461,0,0.0,1,1
183,CUST0000859798,1,0.92,0.92,0.0,559,559,0,0.0,1,1
184,CUST0000797009,1,1.6800000000000002,0.8400000000000001,0.23000000000000004,266,266,0,0.0,1,1
185,CUST0000337518,1,1.35,0.675,0.305,562,562,0,0.0,1,1
186,CUST0000820720,1,1.0,0.5,0.0,625,625,0,0.0,1,1
187,CUST0000579097,1,0.86,0.86,0.0,812,812,0,0.0,1,1
188,CUST0000594876,1,2.65,1.325,0.345,641,641,0,0.0,1,1
189,CUST0000721184,1,1.85,0.925,0.05499999999999999,774,774,0,0.0,1,1
190,CUST0000844556,1,0.64,0.64,0.0,677,677,0,0.0,1,1
191,CUST0000621258,1,0.43,0.43,0.0,625,625,0,0.0,1,1
192,CUST0000513613,1,1.0899999999999999,0.5449999999999999,0.05499999999999999,438,438,0,0.0,1,1
193,CUST0000584880,1,0.3,0.3,0.0,252,252,0,0.0,1,1
194,CUST0000413042,1,1.92,0.96,0.010000000000000009,455,455,0,0.0,1,1
195,CUST0000586657,1,3.2199999999999998,1.6099999999999999,0.8099999999999999,167,167,0,0.0,1,1
196,CUST0000230252,1,1.1,0.55,0.31,734,734,0,0.0,1,1
197,CUST0000701893,1,0.81,0.405,0.15500000000000003,425,425,0,0.0,1,1
198,CUST0000533510,1,0.35,0.35,0.0,779,779,0,0.0,1,1
199,CUST0000920927,1,2.16,2.16,0.0,449,449,0,0.0,1,1
200,CUST0000897241,1,2.34,1.17,0.20000000000000007,154,154,0,0.0,1,1
201,CUST0000514452,1,1.5,1.5,0.0,122,122,0,0.0,1,1
202,CUST0000268559,1,1.01,1.01,0.0,682,682,0,0.0,1,1
203,CUST0000783982,1,0.21,0.21,0.0,186,186,0,0.0,1,1
204,CUST0000695705,1,1.34,1.34,0.0,669,669,0,0.0,1,1
205,CUST0000870844,1,1.41,0.705,0.275,613,613,0,0.0,1,1
206,CUST0000298050,1,3.31,1.655,0.16500000000000004,688,688,0,0.0,1,1
207,CUST0000896045,1,1.99,1.99,0.0,705,705,0,0.0,1,1
208,CUST0000822927,1,0.92,0.92,0.0,812,812,0,0.0,1,1
209,CUST0000002499,1,0.34,0.34,0.0,814,814,0,0.0,1,1
210,CUST0000477598,1,1.27,0.635,0.29500000000000004,606,606,0,0.0,1,1
211,CUST0000680107,1,0.98,0.98,0.0,323,323,0,0.0,1,1
212,CUST0000956173,1,0.36,0.36,0.0,313,313,0,0.0,1,1
213,CUST0000856822,1,0.57,0.57,0.0,265,265,0,0.0,1,1
214,CUST0000225844,1,1.3599999999999999,0.6799999999999999,0.29,450,450,0,0.0,1,1
215,CUST0000921732,1,1.96,0.98,0.56,101,101,0,0.0,1,1
216,CUST0000341074,1,2.44,2.44,0.0,304,304,0,0.0,1,1
217,CUST0000350433,2,5.989999999999999,1.9966666666666666,1.3225312430672058,766,766,0,0.0,1,1
218,CUST0000495775,1,3.4699999999999998,1.7349999999999999,0.29499999999999993,143,143,0,0.0,1,1
219,CUST0000988348,1,3.13,3.13,0.0,629,629,0,0.0,1,1
220,CUST0000707184,1,0.72,0.72,0.0,249,249,0,0.0,1,1
221,CUST0000143418,1,0.86,0.86,0.0,677,677,0,0.0,1,1
222,CUST0000714436,1,0.46,0.46,0.0,152,152,0,0.0,1,1
223,CUST0000874207,1,3.51,3.51,0.0,736,736,0,0.0,1,1
224,CUST0000472752,1,0.39,0.39,0.0,538,538,0,0.0,1,1
225,CUST0000195728,1,0.47,0.47,0.0,792,792,0,0.0,1,1
226,CUST0000173648,1,1.54,0.77,0.16999999999999998,191,191,0,0.0,1,1
227,CUST0000404149,1,2.24,1.12,0.44,375,375,0,0.0,1,1
228,CUST0000921671,1,1.21,1.21,0.0,349,349,0,0.0,1,1
229,CUST0000209963,1,2.75,2.75,0.0,794,794,0,0.0,1,1
230,CUST0000169105,1,0.85,0.85,0.0,109,109,0,0.0,1,1
231,CUST0000753316,1,0.88,0.88,0.0,789,789,0,0.0,1,1
232,CUST0000308781,1,5.77,5.77,0.0,779,779,0,0.0,1,1
233,CUST0000900813,1,0.26,0.26,0.0,769,769,0,0.0,1,1
234,CUST0000784384,1,0.89,0.89,0.0,701,701,0,0.0,1,1
235,CUST0000949678,1,2.54,1.27,0.29000000000000004,767,767,0,0.0,1,1
236,CUST0000444878,1,0.98,0.98,0.0,620,620,0,0.0,1,1
237,CUST0000672588,1,1.96,0.98,0.13000000000000006,401,401,0,0.0,1,1
238,CUST0000772115,1,1.4,1.4,0.0,732,732,0,0.0,1,1
239,CUST0000696848,1,1.49,1.49,0.0,517,517,0,0.0,1,1
240,CUST0000926510,1,0.51,0.51,0.0,374,374,0,0.0,1,1
241,CUST0000178948,1,0.75,0.75,0.0,377,377,0,0.0,1,1
242,CUST0000371746,1,2.5500000000000003,1.2750000000000001,0.885,212,212,0,0.0,1,1
243,CUST0000154616,1,1.16,1.16,0.0,553,553,0,0.0,1,1
244,CUST0000422922,1,0.92,0.92,0.0,541,541,0,0.0,1,1
245,CUST0000691027,1,0.62,0.62,0.0,380,380,0,0.0,1,1
246,CUST0000283843,1,2.39,1.195,0.5449999999999999,798,798,0,0.0,1,1
247,CUST0000942884,1,1.54,1.54,0.0,412,412,0,0.0,1,1
248,CUST0000471413,1,0.66,0.66,0.0,726,726,0,0.0,1,1
249,CUST0000371874,1,3.08,1.54,0.5,171,171,0,0.0,1,1
250,CUST0000859609,1,0.91,0.91,0.0,283,283,0,0.0,1,1
251,CUST0000438603,2,2.99,1.495,0.665,520,520,0,0.0,1,1
252,CUST0000087833,1,2.11,2.11,0.0,251,251,0,0.0,1,1
253,CUST0000468727,1,1.91,1.91,0.0,211,211,0,0.0,1,1
254,CUST0000626610,1,0.28,0.28,0.0,779,779,0,0.0,1,1
255,CUST0000213294,1,1.17,0.585,0.455,679,679,0,0.0,1,1
256,CUST0000651294,1,0.9299999999999999,0.46499999999999997,0.10499999999999998,675,675,0,0.0,1,1
257,CUST0000604419,1,0.57,0.57,0.0,331,331,0,0.0,1,1
258,CUST0000019909,1,2.66,1.33,0.63,423,423,0,0.0,1,1
259,CUST0000369723,1,0.34,0.34,0.0,763,763,0,0.0,1,1
260,CUST0000997274,1,0.75,0.75,0.0,251,251,0,0.0,1,1
261,CUST0000452214,1,1.21,0.605,0.135,577,577,0,0.0,1,1
262,CUST0000477797,1,1.04,1.04,0.0,558,558,0,0.0,1,1
263,CUST0000550710,1,12.17,6.085,0.47499999999999964,405,405,0,0.0,1,1
264,CUST0000715339,1,0.39,0.39,0.0,544,544,0,0.0,1,1
265,CUST0000489897,1,1.19,1.19,0.0,242,242,0,0.0,1,1
266,CUST0000330756,1,1.04,1.04,0.0,721,721,0,0.0,1,1
267,CUST0000253214,1,0.42,0.42,0.0,638,638,0,0.0,1,1
268,CUST0000169011,1,0.8400000000000001,0.42000000000000004,0.04000000000000001,751,751,0,0.0,1,1
269,CUST0000089204,1,2.63,1.315,0.22499999999999998,741,741,0,0.0,1,1
270,CUST0000926026,1,1.48,0.74,0.43999999999999995,631,631,0,0.0,1,1
271,CUST0000348159,1,4.92,4.92,0.0,561,561,0,0.0,1,1
272,CUST0000123514,1,1.87,1.87,0.0,724,724,0,0.0,1,1
273,CUST0000218304,1,1.54,1.54,0.0,164,164,0,0.0,1,1
274,CUST0000034506,1,1.67,1.67,0.0,501,501,0,0.0,1,1
275,CUST0000753453,1,4.42,4.42,0.0,811,811,0,0.0,1,1
276,CUST0000679627,1,1.73,0.865,0.11499999999999999,135,135,0,0.0,1,1
277,CUST0000618203,1,4.81,4.81,0.0,284,284,0,0.0,1,1
278,CUST0000108976,1,0.84,0.84,0.0,153,153,0,0.0,1,1
279,CUST0000381534,1,5.220000000000001,2.6100000000000003,1.9600000000000002,463,463,0,0.0,1,1
280,CUST0000348910,1,0.42,0.42,0.0,137,137,0,0.0,1,1
281,CUST0000378448,1,1.32,0.66,0.4600000000000001,115,115,0,0.0,1,1
282,CUST0000352219,1,0.87,0.87,0.0,140,140,0,0.0,1,1
283,CUST0000259688,1,1.84,1.84,0.0,393,393,0,0.0,1,1
284,CUST0000225913,1,0.88,0.88,0.0,595,595,0,0.0,1,1
285,CUST0000973105,1,0.87,0.87,0.0,664,664,0,0.0,1,1
286,CUST0000764473,1,1.91,1.91,0.0,380,380,0,0.0,1,1
287,CUST0000103002,1,0.98,0.98,0.0,603,603,0,0.0,1,1
288,CUST0000089542,1,2.51,1.255,0.1349999999999999,96,96,0,0.0,1,1
289,CUST0000785466,1,0.36,0.36,0.0,805,805,0,0.0,1,1
290,CUST0000403903,1,1.48,1.48,0.0,117,117,0,0.0,1,1
291,CUST0000788290,1,0.1,0.1,0.0,125,125,0,0.0,1,1
292,CUST0000490976,1,1.37,1.37,0.0,327,327,0,0.0,1,1
293,CUST0000802656,1,0.81,0.81,0.0,199,199,0,0.0,1,1
294,CUST0000498145,1,1.99,1.99,0.0,774,774,0,0.0,1,1
295,CUST0000428136,1,6.4,6.4,0.0,654,654,0,0.0,1,1
296,CUST0000566370,1,3.29,1.645,0.19500000000000006,680,680,0,0.0,1,1
297,CUST0000474891,1,0.25,0.25,0.0,446,446,0,0.0,1,1
298,CUST0000807387,1,2.3,1.15,0.05999999999999994,641,641,0,0.0,1,1
299,CUST0000076195,1,0.73,0.73,0.0,528,528,0,0.0,1,1
300,CUST0000981904,1,2.16,2.16,0.0,815,815,0,0.0,1,1
301,CUST0000040538,1,0.86,0.86,0.0,137,137,0,0.0,1,1
302,CUST0000607029,1,1.52,1.52,0.0,349,349,0,0.0,1,1
303,CUST0000874927,1,6.87,6.87,0.0,704,704,0,0.0,1,1
304,CUST0000411271,1,5.77,5.77,0.0,816,816,0,0.0,1,1
305,CUST0000631502,1,0.57,0.57,0.0,115,115,0,0.0,1,1
306,CUST0000027176,1,1.11,1.11,0.0,139,139,0,0.0,1,1
307,CUST0000450603,1,1.37,1.37,0.0,640,640,0,0.0,1,1
308,CUST0000776878,1,0.31,0.31,0.0,775,775,0,0.0,1,1
309,CUST0000450393,1,7.12,3.56,0.020000000000000018,144,144,0,0.0,1,1
310,CUST0000686905,1,0.34,0.34,0.0,757,757,0,0.0,1,1
311,CUST0000982838,1,0.21,0.21,0.0,287,287,0,0.0,1,1
312,CUST0000759149,1,1.54,1.54,0.0,617,617,0,0.0,1,1
313,CUST0000440874,1,9.36,9.36,0.0,735,735,0,0.0,1,1
314,CUST0000121501,1,0.43,0.43,0.0,295,295,0,0.0,1,1
315,CUST0000249397,1,2.86,2.86,0.0,779,779,0,0.0,1,1
316,CUST0000422846,1,1.54,1.54,0.0,221,221,0,0.0,1,1
317,CUST0000969941,1,6.3,6.3,0.0,118,118,0,0.0,1,1
318,CUST0000622071,1,0.68,0.68,0.0,629,629,0,0.0,1,1
319,CUST0000175701,1,0.98,0.98,0.0,471,471,0,0.0,1,1
320,CUST0000777978,1,0.42,0.42,0.0,358,358,0,0.0,1,1
321,CUST0000347437,1,3.01,3.01,0.0,192,192,0,0.0,1,1
322,CUST0000329758,1,0.38,0.38,0.0,552,552,0,0.0,1,1
323,CUST0000213983,1,9.71,9.71,0.0,143,143,0,0.0,1,1
324,CUST0000104264,1,0.88,0.88,0.0,103,103,0,0.0,1,1
325,CUST0000523663,1,0.95,0.95,0.0,384,384,0,0.0,1,1
326,CUST0000802384,1,0.98,0.98,0.0,392,392,0,0.0,1,1
327,CUST0000513263,1,0.88,0.88,0.0,721,721,0,0.0,1,1
328,CUST0000873102,1,10.729999999999999,5.365,2.925,699,699,0,0.0,1,1
329,CUST0000417835,1,1.9900000000000002,0.9950000000000001,0.35500000000000004,553,553,0,0.0,1,1
330,CUST0000559492,1,10.14,10.14,0.0,333,333,0,0.0,1,1
331,CUST0000179503,1,0.01,0.01,0.0,191,191,0,0.0,1,1
332,CUST0000127177,1,4.12,2.06,0.8500000000000001,646,646,0,0.0,1,1
333,CUST0000902675,1,1.78,0.89,0.18000000000000005,120,120,0,0.0,1,1
334,CUST0000553956,1,0.57,0.57,0.0,703,703,0,0.0,1,1
335,CUST0000228163,1,0.83,0.83,0.0,190,190,0,0.0,1,1
336,CUST0000105694,1,0.34,0.34,0.0,587,587,0,0.0,1,1
337,CUST0000291042,1,2.3,2.3,0.0,813,813,0,0.0,1,1
338,CUST0000826614,1,2.16,2.16,0.0,213,213,0,0.0,1,1
339,CUST0000550339,1,0.73,0.73,0.0,802,802,0,0.0,1,1
340,CUST0000278162,1,2.0,1.0,0.020000000000000018,808,808,0,0.0,1,1
341,CUST0000702927,1,3.34,3.34,0.0,331,331,0,0.0,1,1
342,CUST0000164615,1,0.88,0.44,0.09000000000000002,518,518,0,0.0,1,1
343,CUST0000407466,1,0.42,0.42,0.0,201,201,0,0.0,1,1
344,CUST0000374863,1,9.19,9.19,0.0,299,299,0,0.0,1,1
345,CUST0000959897,1,10.14,10.14,0.0,190,190,0,0.0,1,1
346,CUST0000267396,1,2.92,1.46,0.71,324,324,0,0.0,1,1
347,CUST0000812339,1,8.71,4.355,3.065,711,711,0,0.0,1,1
348,CUST0000502398,1,3.66,3.66,0.0,245,245,0,0.0,1,1
